id,owner_id,pet_name,pet_type,breed,weight
1,89,Daisy,Fish,Molly,1
2,8,Nala,Rabbit,Holland Lop,3
3,72,Bree,Cat,Ragdoll,3
4,48,Oliver,Cat,Bengal,6
5,31,Jake,Dog,German Shepherd,22
6,55,Bailey,Dog,Golden Retriever,42
7,47,Bree,Dog,German Shepherd,45
8,76,Gigi,Cat,Siamese,3
9,12,Daisy,Cat,Bengal,10
10,72,Luna,Cat,Siamese,5
11,76,Coco,Cat,Ragdoll,10
12,15,Lucy,Cat,Persian,5
13,67,Bree,Cat,Maine Coon,3
14,61,Rocky,Bird,Finch,2
15,83,Bailey,Fish,Goldfish,1
16,38,Molly,Dog,French Bulldog,43
17,13,Coco,Bird,Parakeet,1
18,88,Sadie,Dog,Golden Retriever,22
19,33,Joy,Cat,Alley,3
20,61,Bella,Dog,French Bulldog,21
21,100,Lola,Bird,Lovebird,2
22,78,Luna,Fish,Molly,2
23,14,Milo,Cat,Bengal,9
24,53,Bella,Cat,Alley,7
25,60,Oliver,Bird,Canary,2
26,96,Oliver,Bird,Cockatiel,1
27,11,Jake,Bird,Lovebird,2
28,5,Joy,Cat,Persian,9
29,67,Max,Cat,Persian,3
30,84,Lucy,Dog,German Shepherd,27
31,67,Coco,Dog,French Bulldog,28
32,66,Noir,Dog,French Bulldog,16
33,64,Toby,Dog,French Bulldog,42
34,87,Sadie,Cat,Alley,4
35,18,Bella,Bird,Lovebird,1
36,44,Daisy,Dog,Labrador,36
37,11,Molly,Cat,Persian,5
38,56,Charlie,Dog,Poodle,37
39,45,Jake,Rabbit,Flemish Giant,1
40,72,Molly,Dog,Golden Retriever,43
41,92,Coco,Dog,Labrador,43
42,17,Coco,Cat,Ragdoll,8
43,50,Buddy,Dog,Poodle,48
44,66,Noir,Fish,Molly,2
45,43,Molly,Dog,French Bulldog,44
46,67,Bree,Dog,French Bulldog,20
47,95,Max,Cat,Alley,3
48,80,Molly,Dog,Golden Retriever,12
49,100,Rocky,Fish,Molly,2
50,66,Oliver,Dog,Golden Retriever,33
51,19,Max,Fish,Goldfish,1
52,89,Oliver,Cat,Ragdoll,5
53,30,Rocky,Cat,Ragdoll,8
54,76,Gigi,Dog,Labrador,12
55,75,Noir,Cat,Alley,6
56,80,Joy,Dog,Golden Retriever,11
57,91,Nala,Dog,Poodle,33
58,2,Rocky,Dog,Poodle,30
59,19,Lola,Cat,Persian,5
60,54,Noir,Cat,Siamese,4
61,46,Nala,Cat,Persian,5
62,61,Lola,Cat,Siamese,3
63,68,Molly,Dog,French Bulldog,45
64,3,Daisy,Dog,German Shepherd,39
65,76,Sadie,Dog,Labrador,24
66,95,Bailey,Dog,German Shepherd,45
67,53,Bree,Cat,Alley,3
68,10,Charlie,Cat,Ragdoll,5
69,70,Milo,Dog,German Shepherd,35
70,20,Chloe,Dog,Labrador,13
71,10,Noir,Dog,German Shepherd,25
72,29,Joy,Cat,Siamese,4
73,52,Lucy,Cat,Persian,4
74,92,Buddy,Cat,Bengal,7
75,90,Coco,Dog,Labrador,40
76,77,Milo,Cat,Bengal,5
77,84,Nala,Cat,Alley,4
78,40,Duke,Cat,Persian,4
79,65,Bree,Dog,German Shepherd,27
80,90,Charlie,Bird,Finch,1
81,50,Sadie,Dog,French Bulldog,35
82,84,Daisy,Rabbit,Flemish Giant,5
83,90,Coco,Cat,Siamese,6
84,30,Sadie,Cat,Alley,9
85,91,Luna,Dog,German Shepherd,26
86,91,Jack,Cat,Maine Coon,7
87,30,Sadie,Cat,Siamese,10
88,82,Daisy,Cat,Bengal,7
89,44,Coco,Bird,Canary,1
90,61,Bree,Cat,Maine Coon,10
91,50,Charlie,Dog,German Shepherd,49
92,34,Coco,Bird,Parakeet,1
93,16,Luna,Dog,French Bulldog,11
94,7,Gigi,Bird,Lovebird,2
95,68,Bailey,Rabbit,Flemish Giant,5
96,92,Bailey,Rabbit,Netherland Dwarf,5
97,52,Bree,Bird,Cockatiel,1
98,24,Charlie,Bird,Parakeet,2
