id,owner_id,pet_name,pet_type,breed,weight
1,30,Rocky,Dog,Golden Retriever,30
2,35,Sadie,Bird,Canary,1
3,76,Oliver,Dog,Poodle,19
4,44,Jake,Cat,Alley,6
5,44,Toby,Dog,French Bulldog,33
6,6,Milo,Dog,French Bulldog,40
7,59,Joy,Dog,Golden Retriever,20
8,94,Bella,Dog,Poodle,45
9,20,Rocky,Cat,Maine Coon,8
10,52,Bailey,Rabbit,Lionhead,2
11,73,Oliver,Cat,Maine Coon,4
12,75,Gigi,Rabbit,Netherland Dwarf,3
13,58,Lucy,Dog,Labrador,14
14,43,Max,Dog,French Bulldog,34
15,17,Rocky,Cat,Persian,9
16,41,Lola,Rabbit,Lionhead,3
17,29,Jake,Rabbit,Flemish Giant,4
18,19,Chloe,Bird,Lovebird,1
19,21,Bella,Dog,German Shepherd,44
20,44,Noir,Fish,Molly,1
21,89,Daisy,Dog,Labrador,17
22,78,Noir,Dog,Labrador,11
23,49,Nala,Cat,Ragdoll,8
24,7,Joy,Cat,Maine Coon,7
25,11,Jack,Cat,Persian,10
26,1,Joy,Cat,Bengal,9
27,55,Milo,Fish,Goldfish,1
28,18,Lola,Fish,Tetra,2
29,41,Oliver,Dog,German Shepherd,28
30,43,Bree,Rabbit,Netherland Dwarf,4
31,21,Bella,Cat,Bengal,8
32,25,Lola,Dog,Labrador,28
33,52,Buddy,Dog,Golden Retriever,19
34,2,Jake,Cat,Bengal,10
35,25,Lola,Dog,Labrador,24
36,48,Charlie,Dog,Labrador,35
37,68,Molly,Dog,Golden Retriever,23
38,12,Lucy,Rabbit,Netherland Dwarf,3
39,100,Jake,Dog,Golden Retriever,43
40,11,Oliver,Fish,Molly,1
41,2,Toby,Dog,German Shepherd,49
42,35,Max,Bird,Cockatiel,1
43,7,Chloe,Dog,Golden Retriever,10
44,99,Bailey,Cat,Bengal,9
45,95,Jack,Bird,Parakeet,2
46,93,Bella,Dog,Poodle,23
47,64,Jack,Dog,Poodle,14
48,87,Noir,Dog,Golden Retriever,15
49,27,Charlie,Cat,Maine Coon,10
50,13,Milo,Cat,Persian,9
51,49,Noir,Cat,Ragdoll,8
52,40,Buddy,Bird,Finch,1
53,4,Sadie,Cat,Maine Coon,7
54,3,Milo,Dog,Poodle,35
55,74,Duke,Dog,Poodle,19
56,72,Oliver,Rabbit,Netherland Dwarf,3
57,71,Charlie,Rabbit,Mini Rex,4
58,71,Duke,Bird,Cockatiel,2
59,18,Noir,Dog,French Bulldog,40
60,87,Daisy,Cat,Alley,6
61,10,Coco,Dog,Golden Retriever,34
62,27,Coco,Bird,Cockatiel,1
63,51,Charlie,Dog,Golden Retriever,22
64,40,Gigi,Bird,Finch,2
65,42,Luna,Rabbit,Lionhead,4
66,51,Jack,Dog,Golden Retriever,33
67,63,Jake,Dog,Poodle,18
68,80,Luna,Bird,Finch,1
